id_transaccion,etiqueta,I1,I2,I3,I4,I5,J1,J2,J3,J4,J5
TXN_L_0507,legitima,0,1,0,0,0.0,1,1.0,1.0,0.6667,0.0
TXN_L_0520,legitima,1,1,0,0,0.0233,0,0.6667,1.0,0.6667,0.0
TXN_L_0224,legitima,0,1,0,0,0.0556,1,1.0,1.0,0.6667,0.0
TXN_P_0014,cnp,0,1,0,0,0.0,1,1.0,1.0,0.3333,0.5
TXN_L_0067,legitima,0,1,0,0,0.0556,1,1.0,1.0,0.6667,0.0
TXN_L_0353,legitima,1,1,0,0,0.1429,0,1.0,1.0,0.3333,0.0
TXN_L_0517,legitima,1,1,0,0,0.0,0,1.0,1.0,0.3333,0.0
TXN_L_0659,legitima,0,1,0,0,0.0,1,0.3333,1.0,0.3333,0.0
TXN_L_0235,legitima,0,1,0,0,0.0,1,1.0,1.0,0.6667,0.0
TXN_L_0268,legitima,1,1,0,0,0.025,0,0.3333,1.0,0.3333,0.15
TXN_L_0585,legitima,0,1,0,0,0.0435,1,1.0,1.0,0.3333,0.0
TXN_L_0531,legitima,0,1,0,0,0.0278,1,0.6667,1.0,0.6667,0.0
TXN_L_0607,legitima,0,1,0,0,0.087,1,0.3333,1.0,0.3333,0.0
TXN_L_0064,legitima,1,1,0,0,0.1364,0,0.3333,1.0,0.3333,0.0
TXN_L_0668,legitima,0,1,0,0,0.0,1,0.6667,1.0,0.6667,0.0
TXN_L_0278,legitima,0,1,0,0,0.0,1,1.0,1.0,0.3333,0.0
TXN_C_0028,clonacion,1,1,0,0,0.0233,0,0.3333,1.0,0.3333,0.0
TXN_L_0809,legitima,1,1,0,0,0.1176,0,0.6667,1.0,0.3333,0.0
TXN_L_0599,legitima,0,1,0,0,0.0,1,1.0,1.0,0.6667,0.3214
TXN_L_0441,legitima,1,1,0,0,0.1,0,0.6667,1.0,0.6667,0.0
TXN_L_0862,legitima,1,1,0,0,0.0,0,1.0,1.0,0.6667,0.3333
TXN_L_0645,legitima,1,1,0,0,0.0,0,0.6667,1.0,0.6667,0.0
TXN_L_0775,legitima,1,1,0,0,0.0556,0,0.3333,1.0,0.3333,0.0
TXN_L_0657,legitima,0,1,0,0,0.0,1,0.6667,1.0,0.6667,0.0
TXN_L_0770,legitima,1,1,0,0,0.0435,0,1.0,1.0,0.3333,0.0
TXN_L_0008,legitima,0,1,0,0,0.1176,1,0.6667,1.0,0.6667,0.0
TXN_L_0582,legitima,0,1,0,0,0.0444,1,0.6667,1.0,0.6667,0.087
TXN_L_0369,legitima,1,1,0,0,0.0,0,0.6667,1.0,0.6667,0.0
TXN_L_0381,legitima,1,0,0,1,0.0556,0,1.0,1.0,0.6667,0.0
TXN_P_0017,cnp,0,1,0,0,0.0,1,1.0,1.0,0.3333,0.4706
TXN_L_0564,legitima,0,1,0,0,0.0526,1,0.6667,1.0,0.3333,0.0
TXN_L_0385,legitima,0,1,0,0,0.08,1,0.6667,1.0,0.3333,0.0
TXN_L_0858,legitima,1,1,0,0,0.0,0,0.6667,1.0,0.6667,0.0
TXN_L_0147,legitima,0,1,0,0,0.0,1,1.0,1.0,0.6667,0.0
TXN_L_0867,legitima,0,1,0,0,0.0625,1,0.3333,1.0,0.6667,0.0
TXN_L_0887,legitima,1,1,0,0,0.0435,0,0.6667,1.0,0.6667,0.0
TXN_L_0458,legitima,0,1,0,0,0.087,1,0.6667,1.0,0.6667,0.0
TXN_L_0301,legitima,0,1,0,0,0.0435,1,0.3333,1.0,0.3333,0.0
TXN_L_0391,legitima,0,1,0,0,0.0,1,1.0,1.0,0.6667,0.0
TXN_L_0855,legitima,0,1,0,0,0.0385,1,0.3333,1.0,0.3333,0.0
TXN_L_0576,legitima,0,1,0,0,0.025,1,0.6667,1.0,0.6667,0.15
TXN_L_0294,legitima,0,1,0,1,0.0385,1,0.6667,1.0,0.6667,0.0
TXN_L_0076,legitima,1,1,0,0,0.0476,0,1.0,1.0,0.3333,0.2059
TXN_L_0700,legitima,1,1,0,0,0.0,0,0.6667,1.0,0.6667,0.0
TXN_C_0037,clonacion,1,1,0,0,0.0556,0,0.3333,1.0,0.6667,0.0
TXN_L_0890,legitima,1,1,0,0,0.0,0,1.0,1.0,0.3333,0.0
TXN_L_0873,legitima,1,1,0,0,0.0,0,0.3333,1.0,0.3333,0.0
TXN_L_0694,legitima,0,1,0,0,0.0,1,0.3333,1.0,0.3333,0.0
TXN_P_0016,cnp,0,1,0,0,0.0,1,1.0,1.0,0.3333,0.5517
TXN_L_0586,legitima,1,1,0,0,0.0,0,0.6667,1.0,0.3333,0.0
TXN_L_0583,legitima,1,1,0,1,0.0,0,0.3333,1.0,0.3333,0.2903
TXN_L_0449,legitima,1,1,0,0,0.0556,0,0.6667,1.0,0.6667,0.0
TXN_L_0696,legitima,1,1,0,0,0.0,0,0.3333,1.0,0.3333,0.0
TXN_L_0651,legitima,0,1,0,0,0.0278,1,1.0,1.0,0.6667,0.0
TXN_L_0490,legitima,0,1,0,0,0.025,1,1.0,1.0,0.6667,0.1333
TXN_L_0250,legitima,1,1,0,0,0.0556,0,0.6667,1.0,0.6667,0.0
TXN_L_0670,legitima,1,1,0,0,0.0233,0,0.3333,1.0,0.3333,0.0
TXN_L_0689,legitima,1,1,0,0,0.0,0,0.6667,1.0,0.6667,0.375
TXN_L_0869,legitima,0,1,0,1,0.0385,1,0.3333,1.0,0.3333,0.0
TXN_L_0313,legitima,1,1,0,0,0.0,0,0.6667,1.0,0.6667,0.0
TXN_L_0811,legitima,0,1,0,0,0.0444,1,0.3333,1.0,0.3333,0.0889
TXN_L_0829,legitima,1,1,0,0,0.0,0,0.6667,1.0,0.6667,0.0
TXN_P_0030,cnp,0,1,0,0,0.0294,1,1.0,1.0,0.3333,0.4211
TXN_L_0876,legitima,1,1,0,0,0.08,0,1.0,1.0,0.6667,0.0
TXN_L_0727,legitima,0,1,0,0,0.025,1,1.0,1.0,0.3333,0.1395
TXN_L_0189,legitima,1,1,0,0,0.0294,0,0.6667,1.0,0.6667,0.3333
TXN_L_0333,legitima,0,1,0,0,0.025,1,0.3333,1.0,0.3333,0.15
TXN_P_0020,cnp,0,1,0,0,0.0294,1,1.0,1.0,0.3333,0.4318
TXN_L_0166,legitima,0,1,0,0,0.0233,1,1.0,1.0,0.6667,0.0
TXN_L_0503,legitima,0,1,0,0,0.0,1,0.6667,1.0,0.3333,0.0
TXN_L_0475,legitima,1,1,0,0,0.0476,0,0.6667,1.0,0.3333,0.0
TXN_L_0753,legitima,0,1,0,0,0.0,1,1.0,1.0,0.3333,0.0
TXN_L_0094,legitima,0,1,0,0,0.0278,1,1.0,1.0,0.6667,0.0
TXN_L_0305,legitima,1,1,0,0,0.0,0,0.3333,1.0,0.3333,0.0
TXN_L_0569,legitima,0,1,0,0,0.0,1,0.6667,1.0,0.3333,0.0
TXN_L_0888,legitima,0,1,0,0,0.1,1,0.6667,1.0,0.3333,0.0
TXN_L_0004,legitima,0,1,0,0,0.0,1,0.6667,1.0,0.6667,0.0
TXN_L_0658,legitima,0,0,0,0,0.0233,1,0.6667,1.0,0.6667,0.0
TXN_L_0695,legitima,0,1,0,0,0.0444,1,0.3333,1.0,0.3333,0.087
TXN_L_0866,legitima,1,1,0,0,0.1,0,0.3333,1.0,0.3333,0.0
TXN_L_0745,legitima,1,1,0,0,0.0,0,0.3333,1.0,0.3333,0.0
TXN_L_0193,legitima,0,1,0,0,0.087,1,1.0,1.0,0.3333,0.0
TXN_L_0318,legitima,1,1,0,0,0.0,0,0.3333,1.0,0.3333,0.0
TXN_C_0004,clonacion,1,1,0,0,0.1176,0,0.6667,1.0,0.6667,0.0
TXN_L_0863,legitima,0,1,0,0,0.0,1,0.3333,1.0,0.3333,0.4091
TXN_L_0874,legitima,0,1,0,0,0.0,1,0.3333,1.0,0.3333,0.0
TXN_L_0574,legitima,1,1,0,0,0.0,0,1.0,1.0,0.3333,0.0
TXN_L_0142,legitima,0,0,0,1,0.1429,1,1.0,1.0,0.3333,0.0
TXN_L_0211,legitima,1,1,0,0,0.3636,0,0.3333,1.0,0.3333,0.0
TXN_L_0797,legitima,0,1,0,1,0.0,1,1.0,1.0,0.6667,0.3214
TXN_L_0577,legitima,0,1,0,1,0.1176,1,0.6667,1.0,0.6667,0.0
TXN_L_0348,legitima,1,1,0,0,0.0,0,1.0,1.0,0.6667,0.0
TXN_L_0675,legitima,0,1,0,0,0.1429,1,0.3333,1.0,0.6667,0.0
TXN_L_0299,legitima,0,1,0,1,0.0233,1,0.6667,1.0,0.6667,0.0
TXN_L_0692,legitima,0,1,0,0,0.0952,1,0.6667,1.0,0.6667,0.0
TXN_L_0629,legitima,0,0,0,0,0.0,1,1.0,1.0,0.6667,0.0
TXN_L_0205,legitima,0,1,0,0,0.0,1,0.3333,1.0,0.3333,0.3103
TXN_L_0509,legitima,1,1,0,0,0.0,0,0.3333,1.0,0.3333,0.0
TXN_L_0220,legitima,1,1,0,0,0.0476,0,0.6667,1.0,0.6667,0.0
TXN_P_0027,cnp,0,1,0,1,0.025,1,1.0,1.0,0.3333,0.25
TXN_L_0744,legitima,1,1,0,1,0.0278,0,0.3333,1.0,0.3333,0.0
TXN_L_0074,legitima,1,1,0,0,0.0435,0,1.0,1.0,0.6667,0.0
TXN_L_0641,legitima,0,1,0,0,0.0435,1,0.6667,1.0,0.3333,0.0
TXN_L_0853,legitima,0,1,0,0,0.0444,1,1.0,1.0,0.6667,0.0833
TXN_L_0611,legitima,0,1,0,0,0.0,1,0.6667,1.0,0.6667,0.0
TXN_L_0638,legitima,0,0,0,1,0.0385,1,0.3333,1.0,0.6667,0.0
TXN_L_0389,legitima,0,1,0,0,0.1176,1,0.3333,1.0,0.6667,0.0
TXN_L_0484,legitima,1,1,0,1,0.0625,0,1.0,1.0,0.6667,0.0
TXN_L_0138,legitima,0,1,0,0,0.08,1,0.3333,1.0,0.3333,0.0
TXN_L_0370,legitima,0,1,0,0,0.0,1,1.0,1.0,0.6667,0.0
TXN_L_0114,legitima,1,0,0,0,0.0,0,1.0,1.0,0.6667,0.0
TXN_L_0779,legitima,1,1,0,0,0.0625,0,0.6667,1.0,0.3333,0.0
TXN_L_0293,legitima,0,1,0,0,0.0625,1,1.0,1.0,0.6667,0.0
TXN_L_0766,legitima,1,1,0,0,0.0294,0,0.6667,1.0,0.3333,0.3429
TXN_L_0315,legitima,0,1,0,0,0.0,1,0.6667,1.0,0.6667,0.0
TXN_L_0674,legitima,0,1,0,0,0.0,1,0.3333,1.0,0.6667,0.0
TXN_L_0856,legitima,0,1,0,0,0.0,1,0.3333,1.0,0.6667,0.0
TXN_L_0231,legitima,0,0,0,1,0.0,1,1.0,1.0,0.6667,0.0
TXN_L_0827,legitima,1,1,0,0,0.1176,0,1.0,1.0,0.6667,0.0
TXN_L_0155,legitima,0,1,0,0,0.0,1,0.6667,1.0,0.3333,0.0
TXN_L_0678,legitima,1,1,0,1,0.0952,0,0.3333,1.0,0.3333,0.0
TXN_L_0813,legitima,0,1,0,0,0.0,1,0.3333,1.0,0.6667,0.0
TXN_L_0730,legitima,0,1,0,1,0.087,1,1.0,1.0,0.3333,0.0
TXN_L_0720,legitima,1,0,0,0,0.0,0,0.6667,1.0,0.6667,0.0
TXN_L_0878,legitima,1,1,0,0,0.0444,0,0.3333,1.0,0.3333,0.0889
TXN_L_0752,legitima,0,0,0,1,0.0,1,0.6667,1.0,0.6667,0.0
TXN_L_0248,legitima,0,1,0,1,0.0294,1,1.0,1.0,0.3333,0.2927
TXN_L_0071,legitima,0,1,0,0,0.0,1,1.0,1.0,0.6667,0.0
TXN_L_0433,legitima,1,0,0,0,0.0,0,0.3333,1.0,0.3333,0.0
TXN_L_0781,legitima,1,1,0,0,0.0,0,0.3333,1.0,0.3333,0.0
TXN_L_0726,legitima,1,1,0,0,0.1,0,0.6667,1.0,0.3333,0.0
TXN_L_0312,legitima,0,0,0,1,0.0278,1,0.3333,1.0,0.3333,0.0
TXN_C_0038,clonacion,1,1,0,0,0.0526,0,0.3333,1.0,0.6667,0.0
TXN_L_0489,legitima,1,0,0,1,0.0,0,0.3333,1.0,0.3333,0.0
TXN_L_0870,legitima,0,0,0,0,0.0556,1,1.0,1.0,0.6667,0.0
TXN_L_0810,legitima,1,1,0,1,0.1364,0,1.0,1.0,0.6667,0.2121
TXN_L_0357,legitima,1,1,0,0,0.0952,0,0.3333,1.0,0.3333,0.0
TXN_L_0802,legitima,0,0,0,0,0.0952,1,0.6667,1.0,0.6667,0.0
TXN_L_0160,legitima,1,0,0,1,0.1,0,0.6667,1.0,0.6667,0.0
TXN_L_0481,legitima,1,1,0,0,0.0,0,0.6667,1.0,0.3333,0.0
TXN_L_0746,legitima,0,0,0,1,0.0556,1,0.3333,1.0,0.3333,0.0
TXN_L_0650,legitima,1,1,0,0,0.0278,0,0.3333,1.0,0.3333,0.0
TXN_L_0732,legitima,1,1,0,0,0.0,0,0.6667,1.0,0.6667,0.0
TXN_L_0366,legitima,1,1,0,0,0.0526,0,0.3333,1.0,0.6667,0.0
TXN_C_0002,clonacion,1,1,0,0,0.1364,0,0.3333,1.0,0.6667,0.0
TXN_L_0861,legitima,1,0,0,1,0.087,0,1.0,1.0,0.3333,0.0
TXN_C_0003,clonacion,1,1,0,0,0.3636,0,0.6667,1.0,0.6667,0.0
TXN_L_0649,legitima,1,0,0,0,0.0625,0,0.6667,1.0,0.3333,0.0
TXN_C_0023,clonacion,1,1,0,1,0.2,0,0.3333,1.0,0.3333,0.0
TXN_L_0487,legitima,1,1,0,0,0.0,0,0.6667,1.0,0.3333,0.0
TXN_L_0852,legitima,0,1,0,0,0.1,1,0.3333,1.0,0.3333,0.0
TXN_L_0429,legitima,1,1,0,0,0.0,0,0.6667,1.0,0.6667,0.0
TXN_L_0710,legitima,1,1,0,1,0.0,0,0.3333,1.0,0.3333,0.0
TXN_L_0191,legitima,1,1,0,0,0.0,0,0.3333,1.0,0.6667,0.0
