id_transaccion,id_tarjeta,id_usuario,id_dispositivo,direccion_ip,latitud,longitud,canal,timestamp,monto,etiqueta
TXN_L_0507,TRJ_226,USR_011,DEV_006,192.168.13.233,20.4692,-101.3626,remoto,2024-01-01 02:31:48,347.87,legitima
TXN_L_0520,TRJ_029,USR_226,DEV_037,192.168.125.95,20.3698,-100.0595,presencial,2024-01-01 09:06:38,4692.56,legitima
TXN_L_0224,TRJ_147,USR_197,DEV_033,192.168.82.139,22.3398,-101.7338,remoto,2024-01-01 16:27:52,3131.67,legitima
TXN_P_0014,TRJ_160,USR_FRAUD_014,DEV_001,192.168.208.125,21.6525,-99.896,remoto,2024-01-02 02:09:56,1799.95,cnp
TXN_L_0067,TRJ_154,USR_097,DEV_033,192.168.110.246,21.0111,-99.5172,remoto,2024-01-02 02:18:29,1686.29,legitima
TXN_L_0353,TRJ_215,USR_223,DEV_034,192.168.47.98,25.3266,-98.7906,presencial,2024-01-02 06:50:46,2076.83,legitima
TXN_L_0517,TRJ_076,USR_248,DEV_005,192.168.5.133,22.1407,-99.4274,presencial,2024-01-02 09:15:12,1020.63,legitima
TXN_L_0659,TRJ_244,USR_023,DEV_024,192.168.119.237,22.2735,-98.5369,remoto,2024-01-02 21:57:59,534.84,legitima
TXN_L_0235,TRJ_062,USR_189,DEV_005,192.168.249.55,19.4586,-98.9259,remoto,2024-01-03 04:38:56,3221.06,legitima
TXN_L_0268,TRJ_111,USR_216,DEV_010,192.168.159.148,21.1869,-101.4684,presencial,2024-01-03 06:04:21,405.14,legitima
TXN_L_0585,TRJ_228,USR_055,DEV_015,192.168.238.107,24.6345,-99.2994,remoto,2024-01-03 07:50:14,1976.47,legitima
TXN_L_0531,TRJ_086,USR_201,DEV_018,192.168.35.12,21.0256,-100.2036,remoto,2024-01-03 09:16:08,2996.12,legitima
TXN_L_0607,TRJ_004,USR_038,DEV_028,192.168.194.87,22.5957,-101.3973,remoto,2024-01-03 09:29:47,627.82,legitima
TXN_L_0064,TRJ_007,USR_204,DEV_003,192.168.189.18,24.9056,-101.3855,presencial,2024-01-03 12:25:20,3731.17,legitima
